Tweet
"b""@yarham02 @prabowo @sandiuno In Shaa Alloh Dimenangkan\nAamiin Yaa Robbal'Alaamiin..\n\n#SemangatTPSPrabowoDanSandi \n@prabowo @sandiuno \n#SemangatTPSPrabowoDanSandi https://t.co/yfwVg3XiUl"""

b'@Azzara_02 @RamdhaniBrutus @prabowo Berasa penyambutan Presiden RI'

b'@Vife70664464 @prabowo @sandiuno MasyaAllah...bergerak terus.\n\nLuarbiasa ayo terus berjuang.\n#SemangatTPSPrabowoDanSandi @prabowo @sandiuno'

b'@ruhutsitompul Kami di papua merasa lucu dengan tingkanya pak prabowo'

b'@prabowo dan @sandiuno mungkin bukan yg terbaik. Tetapi Insya Allah saya yakin masih jauh lebih baik dari yg saat ini berjalan.\n\nJika ingin perbaikan di Indonesia maka 17April2019 datang ke TPS dan coblos paslon 02 demi Indonesia Adil Makmur.\n\n#SemangatTPSPrabowoDanSandi'

b'@RajaPurwa umat islam tau dan yakin...UAS ke prabowo-sandi....spt hal nya amanat HRS...\n#PrabowoTheNextLeader'

"b'Assalamualaikum selamat pagi tuips..\nMoga di jumat berkah ini kita senantiasa diberikan kemudahan dan kelancaran usaha,berkah buat kluarg &amp; orang lain Aamiin\nSambil dikopian always support @prabowo &amp; @sandiuno menuju Adil Makmur\n#SemangatTPSPrabowoDanSandi https://t.co/6K0dl8c3AX'"

b'@prabowo Merdeka'

b'@MahesaTiwi @V_Stone_Kardol @akusopohayooooo @DewiMalva @JokSusi2019 @HutabaratPalti @SuryoUdoro @OmDennis @makLambeTurah @heniunique @Moch_herianto Gimana  gak  serem \nLihat  muka  prabowo  kyk  mau  cekik  anaknya  \nBuset  kalo  anak  gua  di  gendong  dia   haram  tau!!?'

b'@yarham02 @prabowo @sandiuno Siap mantaaaps.\n\nLuarbiasa ayo terus berjuang.\n#SemangatTPSPrabowoDanSandi @prabowo @sandiuno'
